HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Random Forest - RF(0),Random Forest - RF(1),Random Forest - RF(2),Random Forest - RF(3),Random Forest - RF(4)
V4,5,1967,0.03358555688304792,0.14082358922216576,0.1525165226232842,0.23640061006609048,0.3812913065582104,0.4651753940010168
V5,5,1727,0.03618886061634153,0.17776491024898666,0.19918934568616098,0.3300521134916039,0.49971048060220036,0.5193977996525767
V6,5,1792,0.03705767623293396,0.1266741071428571,0.1584821428571429,0.2712053571428571,0.4347098214285714,0.4782366071428571
V7,5,1839,0.03608800643949557,0.15008156606851553,0.16530723219140842,0.19358346927678083,0.3757476889613921,0.3898858075040783
V8,5,1597,0.03229416466826539,0.13462742642454606,0.1621790857858485,0.23982467125860985,0.4614902943018159,0.5015654351909831
V9,5,600,0.03359932801343973,0.1283333333333333,0.1433333333333333,0.18500000000000005,0.33166666666666667,0.355
V12,5,714,0.04783362218370884,0.08823529411764708,0.1470588235294118,0.2366946778711485,0.37254901960784315,0.4789915966386554
V23,5,1136,0.050359712230215826,0.153169014084507,0.1875,0.3327464788732394,0.477112676056338,0.5580985915492958
V34,5,1801,0.035316234725392776,0.15158245419211547,0.1571349250416435,0.2659633536923931,0.44475291504719605,0.5091615769017213
V45,5,1753,0.03776204359294738,0.13234455219623498,0.15116942384483745,0.2749572162007986,0.4284084426697091,0.5185396463205934
V56,5,1849,0.035252960172228204,0.13899405083829097,0.16224986479177939,0.26392644672796106,0.4375338020551649,0.5105462412114656
V67,5,1755,0.03813439183442019,0.12421652421652418,0.15726495726495726,0.23760683760683765,0.4364672364672365,0.4854700854700855
V78,5,1570,0.03278940886699507,0.11273885350318469,0.16369426751592353,0.22101910828025473,0.4140127388535032,0.46114649681528663
V89,5,562,0.03179579041648007,0.11387900355871883,0.13345195729537362,0.19928825622775803,0.38434163701067614,0.43772241992882566
sequence,5,2061,0.0335014409221902,0.13100436681222705,0.1377971858321203,0.2028141678796701,0.34158175642891797,0.4473556525958272
V1,6,509,0.0703166935050993,0.07072691552062871,0.09430255402750487,0.17878192534381143,0.23772102161100195,0.26522593320235754
V2,6,1268,0.05203150912106136,0.08753943217665616,0.10567823343848581,0.1908517350157729,0.26813880126182965,0.32018927444794953
V3,6,1684,0.03881965334479301,0.0944180522565321,0.12114014251781469,0.19655581947743472,0.28266033254156775,0.29988123515439435
V4,6,1906,0.03265736107453253,0.09076600209863583,0.09391395592864638,0.17628541448058765,0.28488982161594967,0.34889821615949634
V5,6,1782,0.03818207721897706,0.10044893378226716,0.12065095398428727,0.21324354657687994,0.31425364758698093,0.3367003367003367
V6,6,1790,0.03440111420612813,0.09553072625698322,0.09553072625698322,0.18603351955307268,0.28324022346368716,0.3167597765363128
V7,6,1803,0.035914552736982644,0.08763172490293958,0.10870770937326679,0.15418746533555183,0.26788685524126454,0.26788685524126454
V8,6,1615,0.03270803270803271,0.0724458204334365,0.0854489164086687,0.15046439628482977,0.2557275541795666,0.28668730650154794
V9,6,611,0.015611814345991562,0.03109656301145658,0.04582651391162029,0.09001636661211132,0.13420621931260224,0.14729950900163669
V12,6,719,0.043402777777777776,0.07510431154381081,0.10292072322670376,0.13908205841446453,0.26286509040333794,0.32962447844228093
V23,6,1129,0.052242054854157595,0.08591674047829934,0.10717449069973428,0.1975199291408326,0.2967227635075288,0.3312666076173605
V34,6,1873,0.03552542372881356,0.09610250934329956,0.08809396689802451,0.191671115856914,0.26748531767218364,0.33101975440469833
V45,6,1775,0.0362066564545328,0.09126760563380276,0.09746478873239439,0.18197183098591552,0.2794366197183099,0.35661971830985917
V56,6,1871,0.03427800269905533,0.07642971672902188,0.09032602886157137,0.1678246926777125,0.27739176910742913,0.3270978086584714
V67,6,1763,0.037042293499858076,0.09529211571185481,0.10323312535450935,0.14237095859330684,0.30629608621667614,0.3318207600680658
V78,6,1635,0.03218784014927694,0.07522935779816509,0.08868501529051986,0.13577981651376148,0.23792048929663612,0.2764525993883792
V89,6,574,0.01891040072039622,0.03484320557491294,0.026132404181184676,0.05574912891986061,0.15156794425087106,0.2142857142857143
sequence,6,2114,0.03492447129909366,0.08798486281929996,0.08987701040681173,0.152317880794702,0.23368022705771052,0.2880794701986755
