HyperVariable Region,Taxonomy Rank to be classified,Test Size,Main Class prop,Naive Bayes - NB(1),Naive Bayes - NB(2),Naive Bayes - NB(3),Naive Bayes - NB(4),Naive Bayes - NB(5)
V6,5,3600,0.03737796373779637,0.15555555555555556,0.5419444444444445,0.72,0.7586111111111111,0.8200000000000001
V7,5,3745,0.035509736540664374,0.0835781041388518,0.4942590120160214,0.5746328437917223,0.6779706275033378,0.7316421895861148
V8,5,3139,0.033346597692001594,0.14941064033131568,0.5915896782414782,0.7699904428161835,0.7871933736858873,0.8343421471806307
V9,5,1193,0.03208219752568673,0.2221290863369656,0.6487845766974015,0.7242246437552389,0.7778709136630344,0.8038558256496228
V12,5,1424,0.04329754069968826,0.2345505617977528,0.5828651685393258,0.8160112359550562,0.8349719101123596,0.8314606741573034
V23,5,2312,0.053317276111232756,0.23788927335640142,0.6185121107266436,0.8278546712802768,0.8356401384083045,0.8317474048442907
V34,5,3669,0.0357455992446213,0.21613518669937315,0.6459525756336877,0.8465521940583265,0.8495502861815208,0.8345598255655492
V45,5,3639,0.03524136481468507,0.1918109370706238,0.631766968947513,0.8271503160208848,0.8367683429513603,0.8301731244847486
V56,5,3766,0.03392808867261422,0.18109399893786515,0.6141795007966011,0.8146574614976102,0.8138608603292619,0.8292618162506639
V67,5,3542,0.03815004262574595,0.1603613777526821,0.5567476002258611,0.7939017504234895,0.7882552230378317,0.8181818181818181
V78,5,3172,0.031712962962962964,0.20365699873896592,0.640920554854981,0.8215636822194199,0.8133669609079446,0.851828499369483
V89,5,1136,0.030983385720700495,0.31426056338028174,0.7411971830985915,0.8362676056338028,0.8380281690140845,0.8626760563380281
sequence,5,6859,0.021425141295112853,0.0896632162122758,0.2554308208193614,0.45210672109636973,0.5295232541186762,0.5350634203236624
V1,6,930,0.07052962768746722,0.23655913978494625,0.5172043010752688,0.586021505376344,0.6548387096774193,0.7612903225806451
